术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rHqfWQ,合同名称,contract_name,,合同名称是合同文本的标题，用于概括合同性质与内容。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rxMiFF,合同模板,contract_template,,合同模板是预先制定的标准化合同文本，用于快速、规范地起草同类合同。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWvdij,合同事件,contract_event,,合同事件指合同中约定的、触发特定权利义务变化的客观事实或行为。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rcoKCR,合同数量,contract_count,,合同数量指合同中约定的交易或服务总量，是履约的基本计量单位。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rDg2xh,合同状态,contract_status,,合同状态指合同在生命周期中所处的阶段，如草拟、生效、履行中、终止等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rzk7ZQ,合同字段,contract_field,,合同中的具体数据项，用于定义条款内容或执行条件。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6Fhf7,活跃客户数,active_customer_count,,统计周期内产生交易或互动的客户数量，反映业务活跃度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rylmGc,货物规格,goods_spec,,货物规格指商品的具体属性参数，如尺寸、材质、型号等，用于明确交易标的。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhFH2N,货物价值,goods_value,货值,货物价值指商品在交易中的货币评估金额，用于贸易结算和关税计算。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r2LYmM,货物名称,goods_name,,商品在贸易、运输等环节中的正式称谓。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXNPij,货物重量,goods_weight,,货物重量指运输或交易中商品的总质量，是物流计费与安全的重要依据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtjswA,货主,inventory_owner,,货主是库存物资的所有者或管理者。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBB8CE,机构简称,org_short_name,,机构简称指机构名称的缩写形式，便于快速识别与使用。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
roNbaV,机构名称,org_name,,机构名称是组织或单位的法定、规范全称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rMBrmk,基期,base_period,,基期是作为比较基准的特定时期，用于计算和分析后续时期的变化情况。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1cstr,计划日期,plan_date,,计划日期指预先设定的任务或活动执行时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rpgK6i,计划状态,plan_status,,计划状态指项目或任务在规划中的当前阶段，如未开始、进行中、已完成等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
re3s3S,计量单位,measure_unit,,计量单位是用于量化物理量的标准尺度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rihUYl,继承类目,inherit_category,,继承类目是知识图谱中，子类自动获得父类所有属性的关系机制。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rPMaTw,加入时间,add_time,,在数据记录中增加时间戳字段，用于标记事件发生的具体时间。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rAvZug,加入原因,add_reason,,在论证中，为支持结论而补充的附加理由或依据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rB44As,甲方,party_a,,合同或协议中提出需求、委托服务的一方。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r4CxjC,价格来源,price_source,,价格来源指金融产品定价所依据的市场数据基准，如交易所实时报价或做市商报价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r5fGCQ,价格趋势,price_trend,,价格趋势指市场价格在一段时间内呈现的持续上涨、下跌或横盘走向。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rZxJxd,价格日期,price_date,,价格日期指金融产品价格对应的特定日期，用于标记该价格的生效时间。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRkVxG,价税合计,tax_inclusive_amount,,价税合计指商品或服务价格与应缴税款的总和，即消费者实际支付金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJkSOl,监管公司,supervise_company,,监管公司指受委托对特定项目或企业运营进行监督、管理的专业机构。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYIoWv,监管人员,supervisor,,监管人员是负责监督、指导和管理下属工作，确保任务合规完成的管理者。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rR6SdV,监管日期,supervise_date,,监管日期指监管机构对特定事项进行正式监督管理的起始或关键时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r2cQY2,监管状态,supervise_status,,监管状态指系统对账户或业务进行实时监控与管理的运行状况标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rVjMYd,监控货值,monitor_goods_value,,监控货值指企业实时追踪库存商品的市场价值，用于财务与风险管理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1592B,监控开始时间,monitor_start_time,,监控开始时间指系统或设备启动监控功能的初始时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rltbxE,监控状态,monitor_status,,监控状态指系统或设备运行状况的实时监视与反馈信息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rw1Cnv,送货时间,delivery_time,,指从下单到货物送达客户手中的总时长。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXnyvj,交易方名称,trans_party_name,,交易方名称指金融交易中收款或付款方的法定全称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r9njPp,交易金额,trans_amount,成交额,交易金额指单笔交易中买卖双方实际交换的资金总额，即成交额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJVUUp,交易类型,trans_type,,交易类型指金融操作分类，如买入、卖出、转账等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r8E5RL,交易量,trans_quantity,成交数量,交易量指股票或合约在特定时间内成交的总数量，反映市场活跃度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGUi2k,交易流水号,trans_sn,,交易流水号是唯一标识一笔金融交易的编号，用于追踪和记录。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r3CDnQ,交易时间,trans_time,,交易时间指订单从创建到完成支付或取消的完整操作时长。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r8yAqQ,交易状态,trans_status,,交易状态指一笔交易在支付系统中的当前处理阶段，如成功、失败或处理中。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBR0fW,解除,release,,解除指合同、债务或义务的终止或免除。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJuZVf,借据编号,promissory_note_no,借据单号|借据号|借款编号,借据编号是标识单笔借款合同的唯一代码，用于全流程管理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r0AjED,借据金额,promissory_note_amount,,借据金额是借据上载明的借款人承诺偿还的本金数额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRBNJd,借据起期,promissory_note_start_date,,借据起期指借款人首次收到贷款本金、借据正式生效的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rVYMXN,借据详情,promissory_note_detail,,借据详情指记录借贷金额、利率、期限、还款方式等具体条款的书面凭证内容。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r2tI3D,借据止期,promissory_note_end_date,借据到期日期,借据止期指借据上约定的还款截止日期，借款人需在此日期前还清款项。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rteiYN,借据状态,promissory_note_status,,借据状态指电子借据在存证、流转、履约等环节的当前法律效力与操作阶段。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXWLPu,金额,amount,,指交易或统计中货币数量的数值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCGy51,金融产品,financial_product,,金融产品是金融机构设计发行的，用于投资、融资或风险管理的标准化合约或工具。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r26wjV,金融产品状态,financial_product_status,,金融产品状态指产品在生命周期中的阶段，如发行、存续、到期或终止。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rFMCiO,精确业务类型,precise_biz_type,,精确业务类型指在通用业务分类基础上，进一步细化定义的具体业务场景或操作模式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rp8tic,均价,avg_price,,均价指商品或服务的平均交易价格。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHaxco,开户时间,account_creat_time,,指用户成功注册并激活账户的具体日期与时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrcdt7,开户银行,account_bank,开户行,客户开立账户的金融机构，即账户所在银行。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYNEBB,开户银行名称,account_bank_name,开户行名称,指客户开设银行账户时，该账户所属的具体银行分支机构全称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rdPbR1,开盘价,open_price,,开盘价指证券交易日第一笔成交价格。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rlQOfI,开票单位,invoice_org,,开票单位是发票上盖章、承担法律责任的销售方或服务提供方。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLqDjo,开票记录编号,invoice_record_no,,开票记录编号是每张发票的唯一标识代码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rwDD8j,开票日期,invoice_date,,指发票开具的具体日期，是财务记账和税务处理的关键依据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r0hIOc,开票时间,invoice_time,,开票时间指发票上记载的出具日期，是财务记账和税务处理的关键时点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrAqi1,开票状态,invoice_status,,开票状态指发票在系统中的当前处理阶段，如待开、已开、作废等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rMV3DD,开启时间,turn_on_time,,开启时间指器件从关断状态到完全导通所需的时间。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCfsSe,开始投保,start_insurance,,指客户首次购买保险产品，正式建立保险合同关系的行为。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ryx2Rs,开市时间,market_open_time,,指金融市场每日开始交易的规定时段。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r9UAN5,可融资价值,financeable_value,,可融资价值指金融机构认可的、可作为贷款抵押品的资产最高估值。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrkE6E,可用额度,remain_credit,可用授信,可用额度指用户当前可使用的信用卡或贷款额度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
